evaluation_label,regime,ablation,model_family,grouped_region,n_nodes,LogLife_MAE,LogLife_RMSE,signed_mean_LogLife_error,median_abs_LogLife_error,Stress_MAE,Stress_RMSE,status
validation-split evaluation,Uniform,Edge,ArGEnT_self_att_noSDF,Critical lower transition,66662,0.03618941588612237,0.07314380097714833,-0.0013505816459655762,0.0069179534912109375,6.689047239654432,15.599526785294676,ok
validation-split evaluation,Uniform,Edge,ArGEnT_self_att_noSDF,Rim features,217212,0.016502470551341804,0.03791481127460613,-3.609965006035054e-06,0.007755756378173828,2.123780549473695,5.342575331088653,ok
validation-split evaluation,Uniform,Edge,ArGEnT_self_att_noSDF,Remaining contour,370703,0.008546047433121236,0.016362322156207715,-0.00021829984325449914,0.004545688629150391,1.2479613391686681,2.6150552949689274,ok
validation-split evaluation,Uniform,Edge,PointNetMLPJoint,Critical lower transition,66662,0.021732125476564654,0.04195736673215253,-0.00047491988516412675,0.009279727935791016,3.417184895691722,7.724771426987395,ok
validation-split evaluation,Uniform,Edge,PointNetMLPJoint,Rim features,217212,0.020270535226417304,0.041078785969397555,0.0011827916605398059,0.010636568069458008,2.574863232435812,5.857007352646026,ok
validation-split evaluation,Uniform,Edge,PointNetMLPJoint,Remaining contour,370703,0.010407624937866894,0.01757118891880375,0.001986053539440036,0.006700038909912109,1.4973141318162773,2.748454553044762,ok
validation-split evaluation,Uniform,Edge,PointNetMLPJoint_FP,Critical lower transition,66662,0.015136473289235211,0.02917203554056244,-0.0002965882886201143,0.006791114807128906,2.2795208955032127,5.207832697168131,ok
validation-split evaluation,Uniform,Edge,PointNetMLPJoint_FP,Rim features,217212,0.014192792678137058,0.02965917235307876,-0.0007128427969291806,0.0077266693115234375,1.7741236309384982,4.156153852901421,ok
validation-split evaluation,Uniform,Edge,PointNetMLPJoint_FP,Remaining contour,370703,0.007887359257848395,0.01435189593548306,0.0012761574471369386,0.004594326019287109,1.1211709173979252,2.1834537167819765,ok
validation-split evaluation,Zonal,Edge,ArGEnT_self_att_noSDF,Critical lower transition,66662,0.049493915700793735,0.1088405584676006,0.00032478373032063246,0.005020618438720703,6.72622065386618,15.710141377266522,ok
validation-split evaluation,Zonal,Edge,ArGEnT_self_att_noSDF,Rim features,217212,0.017965553635148394,0.04256439265586942,-0.00021908257622271776,0.008163928985595703,2.0773697452971223,5.301481954991138,ok
validation-split evaluation,Zonal,Edge,ArGEnT_self_att_noSDF,Remaining contour,370703,0.009537585280996798,0.022196068488312907,-0.00041430245619267225,0.004403591156005859,1.2309015889483097,2.5870112795314033,ok
validation-split evaluation,Zonal,Edge,PointNetMLPJoint,Critical lower transition,66662,0.026219563239771898,0.05640955035537336,-0.0025039431639015675,0.008042097091674805,3.2969999461851978,7.306684801600029,ok
validation-split evaluation,Zonal,Edge,PointNetMLPJoint,Rim features,217212,0.021922757590433696,0.04450015248195992,0.0011247466318309307,0.011460065841674805,2.4961729564427553,5.5910270140507095,ok
validation-split evaluation,Zonal,Edge,PointNetMLPJoint,Remaining contour,370703,0.011783806759549318,0.02419215913604908,0.0020527841988950968,0.006842136383056641,1.4744477748236702,2.674752638659492,ok
validation-split evaluation,Zonal,Edge,PointNetMLPJoint_FP,Critical lower transition,66662,0.01938527339305433,0.04343263437671565,0.0010251895291730762,0.006025075912475586,2.4655135664794385,5.47899350720635,ok
validation-split evaluation,Zonal,Edge,PointNetMLPJoint_FP,Rim features,217212,0.017487633071450563,0.036137381103828525,5.7005647249752656e-05,0.009639739990234375,1.968535244760137,4.481248803069465,ok
validation-split evaluation,Zonal,Edge,PointNetMLPJoint_FP,Remaining contour,370703,0.009342480979509854,0.019792155861037396,0.0005890892934985459,0.005127429962158203,1.2002084609254688,2.254801010835807,ok
