evaluation_label,regime,ablation,model_family,life_bin,bin,n_samples,n_nodes,mae_loglife,rmse_loglife,signed_mean_error_loglife,median_abs_error_loglife,MAE,RMSE,signed_mean_error,median_abs_error,unstable
validation-split evaluation,Uniform,Edge,ArGEnT_self_att_noSDF,Full test set,Full test set,679000,679000,0.013740325346589088,0.03367408365011215,-0.0002761196519713849,0.005583763122558594,0.013740325346589088,0.03367408365011215,-0.0002761196519713849,0.005583763122558594,False
validation-split evaluation,Uniform,Edge,ArGEnT_self_att_noSDF,log_life < 2,log_life < 2,0,0,,,,,,,,,True
validation-split evaluation,Uniform,Edge,ArGEnT_self_att_noSDF,2 <= log_life < 3,2 <= log_life < 3,1414,1414,0.15594607591629028,0.16961924731731415,0.09561919420957565,0.1556081771850586,0.15594607591629028,0.16961924731731415,0.09561919420957565,0.1556081771850586,False
validation-split evaluation,Uniform,Edge,ArGEnT_self_att_noSDF,3 <= log_life < 4,3 <= log_life < 4,4866,4866,0.11633049696683884,0.1456911861896515,-0.016410138458013535,0.10000979900360107,0.11633049696683884,0.1456911861896515,-0.016410138458013535,0.10000979900360107,False
validation-split evaluation,Uniform,Edge,ArGEnT_self_att_noSDF,4 <= log_life < 6,4 <= log_life < 6,255071,255071,0.015106657519936562,0.037857670336961746,-2.9043076210655272e-05,0.004858970642089844,0.015106657519936562,0.037857670336961746,-2.9043076210655272e-05,0.004858970642089844,False
validation-split evaluation,Uniform,Edge,ArGEnT_self_att_noSDF,log_life >= 6,log_life >= 6,417649,417649,0.011229137890040874,0.02497037686407566,-0.0005637053982354701,0.005901336669921875,0.011229137890040874,0.02497037686407566,-0.0005637053982354701,0.005901336669921875,False
validation-split evaluation,Uniform,Edge,PointNetMLPJoint,Full test set,Full test set,679000,679000,0.014685003086924553,0.02980339340865612,0.0015126329381018877,0.008008480072021484,0.014685003086924553,0.02980339340865612,0.0015126329381018877,0.008008480072021484,False
validation-split evaluation,Uniform,Edge,PointNetMLPJoint,log_life < 2,log_life < 2,0,0,,,,,,,,,True
validation-split evaluation,Uniform,Edge,PointNetMLPJoint,2 <= log_life < 3,2 <= log_life < 3,1414,1414,0.05099325254559517,0.07334057241678238,0.01989218220114708,0.03611445426940918,0.05099325254559517,0.07334057241678238,0.01989218220114708,0.03611445426940918,False
validation-split evaluation,Uniform,Edge,PointNetMLPJoint,3 <= log_life < 4,3 <= log_life < 4,4866,4866,0.056130554527044296,0.08047430962324142,0.0014918082160875201,0.04166865348815918,0.056130554527044296,0.08047430962324142,0.0014918082160875201,0.04166865348815918,False
validation-split evaluation,Uniform,Edge,PointNetMLPJoint,4 <= log_life < 6,4 <= log_life < 6,255071,255071,0.01517465990036726,0.03342088311910629,0.0014761833008378744,0.006950855255126953,0.01517465990036726,0.03342088311910629,0.0014761833008378744,0.006950855255126953,False
validation-split evaluation,Uniform,Edge,PointNetMLPJoint,log_life >= 6,log_life >= 6,417649,417649,0.013780149631202221,0.025850581005215645,0.001472910400480032,0.008563995361328125,0.013780149631202221,0.025850581005215645,0.001472910400480032,0.008563995361328125,False
validation-split evaluation,Uniform,Edge,PointNetMLPJoint_FP,Full test set,Full test set,679000,679000,0.01059785857796669,0.021928999572992325,0.00041985270217992365,0.005597591400146484,0.01059785857796669,0.021928999572992325,0.00041985270217992365,0.005597591400146484,False
validation-split evaluation,Uniform,Edge,PointNetMLPJoint_FP,log_life < 2,log_life < 2,0,0,,,,,,,,,True
validation-split evaluation,Uniform,Edge,PointNetMLPJoint_FP,2 <= log_life < 3,2 <= log_life < 3,1414,1414,0.031299006193876266,0.04919813945889473,0.006595226004719734,0.02267444133758545,0.031299006193876266,0.04919813945889473,0.006595226004719734,0.02267444133758545,False
validation-split evaluation,Uniform,Edge,PointNetMLPJoint_FP,3 <= log_life < 4,3 <= log_life < 4,4866,4866,0.03484979644417763,0.056204892694950104,0.0029623103328049183,0.02394568920135498,0.03484979644417763,0.056204892694950104,0.0029623103328049183,0.02394568920135498,False
validation-split evaluation,Uniform,Edge,PointNetMLPJoint_FP,4 <= log_life < 6,4 <= log_life < 6,255071,255071,0.010418590158224106,0.02346595749258995,0.0015045104082673788,0.004822731018066406,0.010418590158224106,0.02346595749258995,0.0015045104082673788,0.004822731018066406,False
validation-split evaluation,Uniform,Edge,PointNetMLPJoint_FP,log_life >= 6,log_life >= 6,417649,417649,0.01035469863563776,0.020012523978948593,-0.00029311032267287374,0.006007671356201172,0.01035469863563776,0.020012523978948593,-0.00029311032267287374,0.006007671356201172,False
validation-split evaluation,Zonal,Edge,ArGEnT_self_att_noSDF,Full test set,Full test set,679000,679000,0.01604892686009407,0.04487965628504753,-0.0002737570903263986,0.005424022674560547,0.01604892686009407,0.04487965628504753,-0.0002737570903263986,0.005424022674560547,False
validation-split evaluation,Zonal,Edge,ArGEnT_self_att_noSDF,log_life < 2,log_life < 2,1030,1030,0.256548136472702,0.2722461521625519,0.20985113084316254,0.2564011812210083,0.256548136472702,0.2722461521625519,0.20985113084316254,0.2564011812210083,False
validation-split evaluation,Zonal,Edge,ArGEnT_self_att_noSDF,2 <= log_life < 3,2 <= log_life < 3,3491,3491,0.1887177675962448,0.22756454348564148,-0.015940606594085693,0.18217921257019043,0.1887177675962448,0.22756454348564148,-0.015940606594085693,0.18217921257019043,False
validation-split evaluation,Zonal,Edge,ArGEnT_self_att_noSDF,3 <= log_life < 4,3 <= log_life < 4,8723,8723,0.09554499387741089,0.14232484996318817,0.0073119536973536015,0.06974673271179199,0.09554499387741089,0.14232484996318817,0.0073119536973536015,0.06974673271179199,False
validation-split evaluation,Zonal,Edge,ArGEnT_self_att_noSDF,4 <= log_life < 6,4 <= log_life < 6,239075,239075,0.01616656966507435,0.047661591321229935,-5.354162567527965e-06,0.0044994354248046875,0.01616656966507435,0.047661591321229935,-5.354162567527965e-06,0.0044994354248046875,False
validation-split evaluation,Zonal,Edge,ArGEnT_self_att_noSDF,log_life >= 6,log_life >= 6,426681,426681,0.012364511378109455,0.03026084415614605,-0.0009582830243743956,0.005778312683105469,0.012364511378109455,0.03026084415614605,-0.0009582830243743956,0.005778312683105469,False
validation-split evaluation,Zonal,Edge,PointNetMLPJoint,Full test set,Full test set,679000,679000,0.01641366258263588,0.035673465579748154,0.001387362484820187,0.008148193359375,0.01641366258263588,0.035673465579748154,0.001387362484820187,0.008148193359375,False
validation-split evaluation,Zonal,Edge,PointNetMLPJoint,log_life < 2,log_life < 2,1030,1030,0.07585194706916809,0.10342235863208771,0.017005043104290962,0.05679500102996826,0.07585194706916809,0.10342235863208771,0.017005043104290962,0.05679500102996826,False
validation-split evaluation,Zonal,Edge,PointNetMLPJoint,2 <= log_life < 3,2 <= log_life < 3,3491,3491,0.0747615396976471,0.10698071122169495,-0.005313435103744268,0.05454254150390625,0.0747615396976471,0.10698071122169495,-0.005313435103744268,0.05454254150390625,False
validation-split evaluation,Zonal,Edge,PointNetMLPJoint,3 <= log_life < 4,3 <= log_life < 4,8723,8723,0.07734263688325882,0.10712668299674988,0.01422169804573059,0.06190633773803711,0.07734263688325882,0.10712668299674988,0.01422169804573059,0.06190633773803711,False
validation-split evaluation,Zonal,Edge,PointNetMLPJoint,4 <= log_life < 6,4 <= log_life < 6,239075,239075,0.01696094498038292,0.03910020738840103,0.002441008575260639,0.0074329376220703125,0.01696094498038292,0.03910020738840103,0.002441008575260639,0.0074329376220703125,False
validation-split evaluation,Zonal,Edge,PointNetMLPJoint,log_life >= 6,log_life >= 6,426681,426681,0.01424052007496357,0.02853861264884472,0.0005517311510629952,0.00831747055053711,0.01424052007496357,0.02853861264884472,0.0005517311510629952,0.00831747055053711,False
validation-split evaluation,Zonal,Edge,PointNetMLPJoint_FP,Full test set,Full test set,679000,679000,0.012962027452886105,0.028685394674539566,0.0002916878729593009,0.006410121917724609,0.012962027452886105,0.028685394674539566,0.0002916878729593009,0.006410121917724609,False
validation-split evaluation,Zonal,Edge,PointNetMLPJoint_FP,log_life < 2,log_life < 2,1030,1030,0.0478641539812088,0.07222291082143784,0.005939633585512638,0.032932817935943604,0.0478641539812088,0.07222291082143784,0.005939633585512638,0.032932817935943604,False
validation-split evaluation,Zonal,Edge,PointNetMLPJoint_FP,2 <= log_life < 3,2 <= log_life < 3,3491,3491,0.052245430648326874,0.07918249815702438,0.004846611525863409,0.037439823150634766,0.052245430648326874,0.07918249815702438,0.004846611525863409,0.037439823150634766,False
validation-split evaluation,Zonal,Edge,PointNetMLPJoint_FP,3 <= log_life < 4,3 <= log_life < 4,8723,8723,0.05348189175128937,0.08325625211000443,0.003990742843598127,0.035915374755859375,0.05348189175128937,0.08325625211000443,0.003990742843598127,0.035915374755859375,False
validation-split evaluation,Zonal,Edge,PointNetMLPJoint_FP,4 <= log_life < 6,4 <= log_life < 6,239075,239075,0.012794475071132183,0.03134286776185036,-0.0015125212958082557,0.005403995513916016,0.012794475071132183,0.03134286776185036,-0.0015125212958082557,0.005403995513916016,False
validation-split evaluation,Zonal,Edge,PointNetMLPJoint_FP,log_life >= 6,log_life >= 6,426681,426681,0.01182186882942915,0.023524688556790352,0.0011760859051719308,0.0067920684814453125,0.01182186882942915,0.023524688556790352,0.0011760859051719308,0.0067920684814453125,False
