evaluation_label,regime,ablation,model_family,target,MSE,RMSE,MAE,R2 (log),MAPE (%),MPE (%),Max_PE (%),RMSE_raw,MSE_raw_life,R2_raw_life
validation-split evaluation,Uniform,Edge,ArGEnT_self_att_noSDF,LogLife,0.0011339440511730502,0.03367408575110912,0.01374032517806771,0.9994287786468784,3.2228191898869945,0.2509982593374847,1424.4095261681873,13108315.23687082,171827928349179.7,0.9994037123712917
validation-split evaluation,Uniform,Edge,ArGEnT_self_att_noSDF,Stress,36.79845518355223,6.066173026179869,2.048409042931446,0.9989064623406737,,,,,,
validation-split evaluation,Uniform,Edge,PointNetMLPJoint,LogLife,0.0008882422463388271,0.029803393201761893,0.014685003475517868,0.9995525502891183,3.4352091479247115,0.5924294069573606,1417.7167569050873,21223379.639278453,450431843312939.2,0.998436884281128
validation-split evaluation,Uniform,Edge,PointNetMLPJoint,Stress,21.068978468165,4.590095692702386,2.025149067301462,0.9993738943310649,,,,,,
validation-split evaluation,Uniform,Edge,PointNetMLPJoint_FP,LogLife,0.00048088100957727295,0.021928999283534874,0.010597858316241729,0.9997577574478238,2.466847222066003,0.23197164525364328,3121.2802302379446,20503209.820565984,420381612946153.4,0.998541166400919
validation-split evaluation,Uniform,Edge,PointNetMLPJoint_FP,Stress,10.853852998276235,3.2945186292197888,1.4380513092737661,0.9996774566501989,,,,,,
validation-split evaluation,Zonal,Edge,ArGEnT_self_att_noSDF,LogLife,0.0020141832336957296,0.04487965278047202,0.016048927698289875,0.9990015240093202,3.839211675893946,0.507221146707739,1262.7676809747702,21232483.296363954,450818346930374.3,0.9974404513795933
validation-split evaluation,Zonal,Edge,ArGEnT_self_att_noSDF,Stress,36.91482899648244,6.075757483349911,2.0258102655537176,0.9989030040665053,,,,,,
validation-split evaluation,Zonal,Edge,PointNetMLPJoint,LogLife,0.0012725961854936835,0.03567346612671221,0.016413662260516226,0.9993691454105122,3.850804252393406,0.6724093588009574,2437.3747456145147,30260216.527388807,915680704284454.6,0.9948011670346986
validation-split evaluation,Zonal,Edge,PointNetMLPJoint,Stress,19.255547642043688,4.388114360638712,1.974553034213576,0.9994277839547205,,,,,,
validation-split evaluation,Zonal,Edge,PointNetMLPJoint_FP,LogLife,0.0008228519166080312,0.02868539552817829,0.012962028309944277,0.9995920937733602,3.0437030045646165,0.30503403027375225,2151.796028960789,21581500.131738476,465761147936227.8,0.997355612716837
validation-split evaluation,Zonal,Edge,PointNetMLPJoint_FP,Stress,12.255721501918629,3.5008172620002074,1.5742708890687382,0.9996357974013389,,,,,,
