regime,ablation,model_family,life_bin,bin,n_samples,n_nodes,mae_loglife,rmse_loglife,signed_mean_error_loglife,median_abs_error_loglife,MAE,RMSE,signed_mean_error,median_abs_error,unstable
Zonal,Edge_arc_feat,ArGEnT_self_att_noSDF,Full test set,Full test set,679000,679000,0.0098106162622571,0.021475769579410553,-0.0003433459787629545,0.004601478576660156,0.0098106162622571,0.021475769579410553,-0.0003433459787629545,0.004601478576660156,False
Zonal,Edge_arc_feat,ArGEnT_self_att_noSDF,log_life < 2,log_life < 2,1030,1030,0.03148099035024643,0.045965008437633514,0.0014991303905844688,0.025933504104614258,0.03148099035024643,0.045965008437633514,0.0014991303905844688,0.025933504104614258,False
Zonal,Edge_arc_feat,ArGEnT_self_att_noSDF,2 <= log_life < 3,2 <= log_life < 3,3491,3491,0.032986950129270554,0.049538660794496536,0.0033168441150337458,0.025040149688720703,0.032986950129270554,0.049538660794496536,0.0033168441150337458,0.025040149688720703,False
Zonal,Edge_arc_feat,ArGEnT_self_att_noSDF,3 <= log_life < 4,3 <= log_life < 4,8723,8723,0.03548127040266991,0.05677660182118416,0.004386033397167921,0.022620439529418945,0.03548127040266991,0.05677660182118416,0.004386033397167921,0.022620439529418945,False
Zonal,Edge_arc_feat,ArGEnT_self_att_noSDF,4 <= log_life < 6,4 <= log_life < 6,239075,239075,0.0093535752967,0.02258267067372799,0.00011295209696982056,0.003951072692871094,0.0093535752967,0.02258267067372799,0.00011295209696982056,0.003951072692871094,False
Zonal,Edge_arc_feat,ArGEnT_self_att_noSDF,log_life >= 6,log_life >= 6,426681,426681,0.009299960918724537,0.018897555768489838,-0.0007300969446077943,0.004853248596191406,0.009299960918724537,0.018897555768489838,-0.0007300969446077943,0.004853248596191406,False
Zonal,Edge_arc_feat,PointNetMLPJoint_FP_headfeat,Full test set,Full test set,679000,679000,0.008149816654622555,0.0176899041980505,0.00014451899915002286,0.004031658172607422,0.008149816654622555,0.0176899041980505,0.00014451899915002286,0.004031658172607422,False
Zonal,Edge_arc_feat,PointNetMLPJoint_FP_headfeat,log_life < 2,log_life < 2,1030,1030,0.026200538501143456,0.04735548794269562,0.0024829672183841467,0.01863837242126465,0.026200538501143456,0.04735548794269562,0.0024829672183841467,0.01863837242126465,False
Zonal,Edge_arc_feat,PointNetMLPJoint_FP_headfeat,2 <= log_life < 3,2 <= log_life < 3,3491,3491,0.027371516451239586,0.05448726937174797,0.000824123970232904,0.018756866455078125,0.027371516451239586,0.05448726937174797,0.000824123970232904,0.018756866455078125,False
Zonal,Edge_arc_feat,PointNetMLPJoint_FP_headfeat,3 <= log_life < 4,3 <= log_life < 4,8723,8723,0.027330992743372917,0.04937969148159027,0.0019588766153901815,0.0174710750579834,0.027330992743372917,0.04937969148159027,0.0019588766153901815,0.0174710750579834,False
Zonal,Edge_arc_feat,PointNetMLPJoint_FP_headfeat,4 <= log_life < 6,4 <= log_life < 6,239075,239075,0.007445781957358122,0.017688162624835968,0.0002545861934777349,0.0033349990844726562,0.007445781957358122,0.017688162624835968,0.0002545861934777349,0.0033349990844726562,False
Zonal,Edge_arc_feat,PointNetMLPJoint_FP_headfeat,log_life >= 6,log_life >= 6,426681,426681,0.00795131828635931,0.015592539682984352,3.454910620348528e-05,0.004342079162597656,0.00795131828635931,0.015592539682984352,3.454910620348528e-05,0.004342079162597656,False
Zonal,Edge_arc_feat,PointNetMLPJoint_headfeat,Full test set,Full test set,679000,679000,0.014382743276655674,0.03124624490737915,0.0006346357986330986,0.007129669189453125,0.014382743276655674,0.03124624490737915,0.0006346357986330986,0.007129669189453125,False
Zonal,Edge_arc_feat,PointNetMLPJoint_headfeat,log_life < 2,log_life < 2,1030,1030,0.05860908329486847,0.08640186488628387,0.015544132329523563,0.04264014959335327,0.05860908329486847,0.08640186488628387,0.015544132329523563,0.04264014959335327,False
Zonal,Edge_arc_feat,PointNetMLPJoint_headfeat,2 <= log_life < 3,2 <= log_life < 3,3491,3491,0.059438686817884445,0.08488772809505463,-0.0005981526919640601,0.04438304901123047,0.059438686817884445,0.08488772809505463,-0.0005981526919640601,0.04438304901123047,False
Zonal,Edge_arc_feat,PointNetMLPJoint_headfeat,3 <= log_life < 4,3 <= log_life < 4,8723,8723,0.06841763854026794,0.09637121111154556,0.012674456462264061,0.05292367935180664,0.06841763854026794,0.09637121111154556,0.012674456462264061,0.05292367935180664,False
Zonal,Edge_arc_feat,PointNetMLPJoint_headfeat,4 <= log_life < 6,4 <= log_life < 6,239075,239075,0.014766453765332699,0.034487783908843994,0.0001094494218705222,0.006401538848876953,0.014766453765332699,0.034487783908843994,0.0001094494218705222,0.006401538848876953,False
Zonal,Edge_arc_feat,PointNetMLPJoint_headfeat,log_life >= 6,log_life >= 6,426681,426681,0.01258766371756792,0.024907689541578293,0.0006568596581928432,0.007330894470214844,0.01258766371756792,0.024907689541578293,0.0006568596581928432,0.007330894470214844,False
