ablation,training_fraction,model_family,checkpoint_path,training_config_id,successful_eval_geometries,shared_eval_geometries,dropped_to_enforce_fairness,evaluation_label
Edge_10,0.1,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_10\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge_10:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,1000,1000,0,validation-split evaluation
Edge_10,0.1,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_10\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_10:PointNetMLPJoint_FP:pnmlp_16932d84,1000,1000,0,validation-split evaluation
Edge_25,0.25,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge_25:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,1000,1000,0,validation-split evaluation
Edge_25,0.25,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_25:PointNetMLPJoint_FP:pnmlp_16932d84,1000,1000,0,validation-split evaluation
Edge_50,0.5,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_50\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge_50:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,1000,1000,0,validation-split evaluation
Edge_50,0.5,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_50\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_50:PointNetMLPJoint_FP:pnmlp_16932d84,1000,1000,0,validation-split evaluation
Edge_75,0.75,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_75\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge_75:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,1000,1000,0,validation-split evaluation
Edge_75,0.75,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_75\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_75:PointNetMLPJoint_FP:pnmlp_16932d84,1000,1000,0,validation-split evaluation
Edge,1.0,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,1000,1000,0,validation-split evaluation
Edge,1.0,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge:PointNetMLPJoint_FP:pnmlp_16932d84,1000,1000,0,validation-split evaluation
