regime,ablation,model_family,grouped_region,n_nodes,LogLife_MAE,LogLife_RMSE,signed_mean_LogLife_error,median_abs_LogLife_error,Stress_MAE,Stress_RMSE,status
Zonal,Edge,ArGEnT_self_att_noSDF,Critical lower transition,66662,0.049493915700793735,0.10884055846760059,0.0003247838467359543,0.005020618438720703,6.72622065386618,15.710141377266522,ok
Zonal,Edge,ArGEnT_self_att_noSDF,Rim features,217212,0.017965553635148394,0.04256439265586942,-0.00021908257622271776,0.008163928985595703,2.0773697452971223,5.301481954991138,ok
Zonal,Edge,ArGEnT_self_att_noSDF,Remaining contour,370703,0.009537585280996798,0.022196068488312907,-0.00041430245619267225,0.004403591156005859,1.2309015889483097,2.5870112795314033,ok
Zonal,Edge,GINOT-A,Critical lower transition,66662,0.05045416422121446,0.10880283990178775,0.001900148345157504,0.008371829986572266,6.654701161265127,15.36050114075341,ok
Zonal,Edge,GINOT-A,Rim features,217212,0.023004840902142124,0.05304870313677824,0.0009394981898367405,0.010470151901245117,2.6124265655427097,6.326237340470025,ok
Zonal,Edge,GINOT-A,Remaining contour,370703,0.012669899000435804,0.02994369427582427,-0.0010618409141898155,0.006789207458496094,1.5418395240775398,2.859780192682418,ok
Zonal,Edge,PointNetMLPJoint_FP,Critical lower transition,66662,0.01938527339305433,0.04343263437671565,0.0010251895291730762,0.006025075912475586,2.4655135664794385,5.47899350720635,ok
Zonal,Edge,PointNetMLPJoint_FP,Rim features,217212,0.017487633071450563,0.036137381103828525,5.7005647249752656e-05,0.009639739990234375,1.968535244760137,4.481248803069465,ok
Zonal,Edge,PointNetMLPJoint_FP,Remaining contour,370703,0.009342480979509854,0.019792155861037396,0.0005890892934985459,0.005127429962158203,1.2002084609254688,2.254801010835807,ok
Zonal,Edge_10,ArGEnT_self_att_noSDF,Critical lower transition,66662,0.08696881715501233,0.18330214309743292,0.009328254498541355,0.021147727966308594,11.644822427303797,25.48104570752014,ok
Zonal,Edge_10,ArGEnT_self_att_noSDF,Rim features,217212,0.04785181170774095,0.07936692341477307,0.0014193321112543344,0.03274345397949219,5.242622141842201,9.414319334225498,ok
Zonal,Edge_10,ArGEnT_self_att_noSDF,Remaining contour,370703,0.02825465831283283,0.06290399961660272,-0.001370229641906917,0.013651847839355469,3.535097757200047,7.142049582027035,ok
Zonal,Edge_10,GINOT-A,Critical lower transition,66662,0.067046530975059,0.13091559202854772,0.008740708231925964,0.022317886352539062,8.848884435796004,18.487640839581978,ok
Zonal,Edge_10,GINOT-A,Rim features,217212,0.03731698473202375,0.07607709661857111,0.001452421536669135,0.020694971084594727,4.111191780078109,9.177434553937383,ok
Zonal,Edge_10,GINOT-A,Remaining contour,370703,0.022864414915666244,0.041319017592761624,-0.0045525915920734406,0.014531612396240234,2.9286323197673525,4.333418262450073,ok
Zonal,Edge_10,PointNetMLPJoint_FP,Critical lower transition,66662,0.0661730755191264,0.13905980001624546,0.0012950103264302015,0.01650834083557129,8.646729237568847,19.72648116972873,ok
Zonal,Edge_10,PointNetMLPJoint_FP,Rim features,217212,0.04938209096533601,0.09397382580326402,-0.0006502668256871402,0.028351783752441406,5.5086248660661425,11.896481204148257,ok
Zonal,Edge_10,PointNetMLPJoint_FP,Remaining contour,370703,0.024893981404675386,0.045000624789963355,0.0007011414272710681,0.01596546173095703,3.15957261884298,4.781619120044643,ok
Zonal,Edge_25,ArGEnT_self_att_noSDF,Critical lower transition,66662,0.056782170065715905,0.11790985040464128,0.0015340263489633799,0.011430501937866211,7.480686256527947,16.607520626851358,ok
Zonal,Edge_25,ArGEnT_self_att_noSDF,Rim features,217212,0.025156928565210943,0.05712704927362983,0.0004711428191512823,0.012101173400878906,2.8149100123234523,6.974237440461004,ok
Zonal,Edge_25,ArGEnT_self_att_noSDF,Remaining contour,370703,0.01415742864647431,0.032067528477993656,-1.887021426227875e-05,0.007746219635009766,1.7100987646177341,3.0216865901340726,ok
Zonal,Edge_25,GINOT-A,Critical lower transition,66662,0.06098917575062907,0.12138139662780477,0.00908727291971445,0.017967939376831055,7.7347530889051885,17.09265816512548,ok
