regime,ablation,ablation_source,model_family,fp_status,stress_target_mode,checkpoint_path,training_config_id,life_bin,n_samples,mae_loglife,rmse_loglife,unstable
Zonal,Edge,Edge,ArGEnT_self_att_noSDF,non-FP,with_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,ca5324d5b4e306c2,Full test set,679000,0.01604892872273922,0.04487965255975723,False
Zonal,Edge,Edge,ArGEnT_self_att_noSDF,non-FP,with_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,ca5324d5b4e306c2,log_life < 2,1030,0.25654810667037964,0.2722461521625519,False
Zonal,Edge,Edge,ArGEnT_self_att_noSDF,non-FP,with_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,ca5324d5b4e306c2,2 <= log_life < 3,3491,0.1887177675962448,0.22756454348564148,False
Zonal,Edge,Edge,ArGEnT_self_att_noSDF,non-FP,with_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,ca5324d5b4e306c2,3 <= log_life < 4,8723,0.09554499387741089,0.14232484996318817,False
Zonal,Edge,Edge,ArGEnT_self_att_noSDF,non-FP,with_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,ca5324d5b4e306c2,4 <= log_life < 6,239075,0.0161665678024292,0.047661591321229935,False
Zonal,Edge,Edge,ArGEnT_self_att_noSDF,non-FP,with_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,ca5324d5b4e306c2,log_life >= 6,426681,0.01236451230943203,0.0302608422935009,False
Zonal,Edge,Edge,PointNetMLPJoint,non-FP,with_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\PointNetMLPJoint\Trained_models\pn_s_full_ln_pos12_78193d0f.pt,8991ee357684b442,Full test set,679000,0.01641366258263588,0.035673465579748154,False
Zonal,Edge,Edge,PointNetMLPJoint,non-FP,with_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\PointNetMLPJoint\Trained_models\pn_s_full_ln_pos12_78193d0f.pt,8991ee357684b442,log_life < 2,1030,0.07585194706916809,0.10342235863208771,False
Zonal,Edge,Edge,PointNetMLPJoint,non-FP,with_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\PointNetMLPJoint\Trained_models\pn_s_full_ln_pos12_78193d0f.pt,8991ee357684b442,2 <= log_life < 3,3491,0.0747615396976471,0.10698071122169495,False
Zonal,Edge,Edge,PointNetMLPJoint,non-FP,with_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\PointNetMLPJoint\Trained_models\pn_s_full_ln_pos12_78193d0f.pt,8991ee357684b442,3 <= log_life < 4,8723,0.07734263688325882,0.10712668299674988,False
