model_family,fp_status,life_bin,n_rows,n_samples,median_delta_mae_loglife,median_delta_rmse_loglife,fraction_stress_better_mae,fraction_stress_better_rmse
ArGEnT_self_att_noSDF,non-FP,2 <= log_life < 3,1,3491,0.003623783588409424,0.002807900309562683,1.0,1.0
ArGEnT_self_att_noSDF,non-FP,3 <= log_life < 4,1,8723,0.0012696385383605957,0.0013373345136642456,1.0,1.0
ArGEnT_self_att_noSDF,non-FP,4 <= log_life < 6,1,239075,0.0006136856973171234,0.0005406662821769714,1.0,1.0
ArGEnT_self_att_noSDF,non-FP,Full test set,1,679000,0.001264391466975212,0.0007050149142742157,1.0,1.0
ArGEnT_self_att_noSDF,non-FP,log_life < 2,1,1030,0.005233496427536011,0.004075914621353149,1.0,1.0
ArGEnT_self_att_noSDF,non-FP,log_life >= 6,1,426681,0.0015999972820281982,0.0007945150136947632,1.0,1.0
PointNetMLPJoint_FP,FP,2 <= log_life < 3,1,3491,0.011886373162269592,0.014039605855941772,1.0,1.0
PointNetMLPJoint_FP,FP,3 <= log_life < 4,1,8723,0.008925534784793854,0.006415821611881256,1.0,1.0
PointNetMLPJoint_FP,FP,4 <= log_life < 6,1,239075,0.001359621062874794,0.0015931613743305206,1.0,1.0
PointNetMLPJoint_FP,FP,Full test set,1,679000,0.0007991734892129898,0.0013455860316753387,1.0,1.0
PointNetMLPJoint_FP,FP,log_life < 2,1,1030,0.021108467131853104,0.025992266833782196,1.0,1.0
PointNetMLPJoint_FP,FP,log_life >= 6,1,426681,0.0001792721450328827,0.00032024458050727844,1.0,1.0
