pair_id,model_family,fp_status,stress_variant,no_stress_variant,training_config_id,split_seed,eval_fraction,training_fraction,evaluation_subset,life_bin,n_samples,stress_checkpoint_path,no_stress_checkpoint_path,stress_mae_loglife,no_stress_mae_loglife,delta_mae_loglife,stress_rmse_loglife,no_stress_rmse_loglife,delta_rmse_loglife
ArGEnT_self_att_noSDF__ca5324d5b4e306c2,ArGEnT_self_att_noSDF,non-FP,argent_self_nosdf_s_177b264d,argent_self_nosdf_s_cf025919,ca5324d5b4e306c2,42,0.2,,validation-split evaluation,Full test set,679000,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_cf025919.pt,0.01604892872273922,0.017313320189714432,0.001264391466975212,0.04487965255975723,0.04558466747403145,0.0007050149142742157
ArGEnT_self_att_noSDF__ca5324d5b4e306c2,ArGEnT_self_att_noSDF,non-FP,argent_self_nosdf_s_177b264d,argent_self_nosdf_s_cf025919,ca5324d5b4e306c2,42,0.2,,validation-split evaluation,log_life < 2,1030,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_cf025919.pt,0.25654810667037964,0.26178160309791565,0.005233496427536011,0.2722461521625519,0.27632206678390503,0.004075914621353149
ArGEnT_self_att_noSDF__ca5324d5b4e306c2,ArGEnT_self_att_noSDF,non-FP,argent_self_nosdf_s_177b264d,argent_self_nosdf_s_cf025919,ca5324d5b4e306c2,42,0.2,,validation-split evaluation,2 <= log_life < 3,3491,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_cf025919.pt,0.1887177675962448,0.19234155118465424,0.003623783588409424,0.22756454348564148,0.23037244379520416,0.002807900309562683
ArGEnT_self_att_noSDF__ca5324d5b4e306c2,ArGEnT_self_att_noSDF,non-FP,argent_self_nosdf_s_177b264d,argent_self_nosdf_s_cf025919,ca5324d5b4e306c2,42,0.2,,validation-split evaluation,3 <= log_life < 4,8723,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_cf025919.pt,0.09554499387741089,0.09681463241577148,0.0012696385383605957,0.14232484996318817,0.14366218447685242,0.0013373345136642456
ArGEnT_self_att_noSDF__ca5324d5b4e306c2,ArGEnT_self_att_noSDF,non-FP,argent_self_nosdf_s_177b264d,argent_self_nosdf_s_cf025919,ca5324d5b4e306c2,42,0.2,,validation-split evaluation,4 <= log_life < 6,239075,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_cf025919.pt,0.0161665678024292,0.016780253499746323,0.0006136856973171234,0.047661591321229935,0.048202257603406906,0.0005406662821769714
ArGEnT_self_att_noSDF__ca5324d5b4e306c2,ArGEnT_self_att_noSDF,non-FP,argent_self_nosdf_s_177b264d,argent_self_nosdf_s_cf025919,ca5324d5b4e306c2,42,0.2,,validation-split evaluation,log_life >= 6,426681,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_cf025919.pt,0.01236451230943203,0.013964509591460228,0.0015999972820281982,0.0302608422935009,0.031055357307195663,0.0007945150136947632
PointNetMLPJoint_FP__15c46d5f9f6e469b,PointNetMLPJoint_FP,FP,pnmlp_16932d84,pnmlp_1bbaae12,15c46d5f9f6e469b,42,0.2,,validation-split evaluation,Full test set,679000,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\PointNetMLPJoint_FP\Trained_models\pnmlp_1bbaae12.pt,0.012962027452886105,0.013761200942099094,0.0007991734892129898,0.028685396537184715,0.030030982568860054,0.0013455860316753387
PointNetMLPJoint_FP__15c46d5f9f6e469b,PointNetMLPJoint_FP,FP,pnmlp_16932d84,pnmlp_1bbaae12,15c46d5f9f6e469b,42,0.2,,validation-split evaluation,log_life < 2,1030,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\PointNetMLPJoint_FP\Trained_models\pnmlp_1bbaae12.pt,0.0478641502559185,0.0689726173877716,0.021108467131853104,0.07222291827201843,0.09821518510580063,0.025992266833782196
PointNetMLPJoint_FP__15c46d5f9f6e469b,PointNetMLPJoint_FP,FP,pnmlp_16932d84,pnmlp_1bbaae12,15c46d5f9f6e469b,42,0.2,,validation-split evaluation,2 <= log_life < 3,3491,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\PointNetMLPJoint_FP\Trained_models\pnmlp_1bbaae12.pt,0.052245430648326874,0.06413180381059647,0.011886373162269592,0.07918249815702438,0.09322210401296616,0.014039605855941772
PointNetMLPJoint_FP__15c46d5f9f6e469b,PointNetMLPJoint_FP,FP,pnmlp_16932d84,pnmlp_1bbaae12,15c46d5f9f6e469b,42,0.2,,validation-split evaluation,3 <= log_life < 4,8723,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\PointNetMLPJoint_FP\Trained_models\pnmlp_1bbaae12.pt,0.053481895476579666,0.06240743026137352,0.008925534784793854,0.08325625211000443,0.08967207372188568,0.006415821611881256
