model,geometry_index,band,threshold,n_nodes,mae,rmse,bias
MATCH_250K,1501,all,all,679,0.020762164145708084,0.047809891402721405,0.002762775169685483
MATCH_250K,1501,log_life_lt_2,2.0,1,0.2724885940551758,0.2724885940551758,0.2724885940551758
MATCH_250K,1501,log_life_lt_3,3.0,5,0.21458344161510468,0.2393273115158081,0.2021096646785736
MATCH_250K,1501,log_life_lt_4,4.0,8,0.21650508046150208,0.2336079478263855,0.14184525609016418
MATCH_250K,1501,log_life_lt_5,5.0,24,0.12992390990257263,0.16346131265163422,0.04833802580833435
MATCH_250K,1501,log_life_lt_6,6.0,199,0.032960500568151474,0.07203298807144165,0.011516325175762177
MATCH_250K,2586,all,all,679,0.01758500188589096,0.04616156592965126,-0.0017797870095819235
MATCH_250K,2586,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,2586,log_life_lt_3,3.0,4,0.19457638263702393,0.23137390613555908,-0.17486131191253662
MATCH_250K,2586,log_life_lt_4,4.0,17,0.13920089602470398,0.2049914002418518,-0.07193011045455933
MATCH_250K,2586,log_life_lt_5,5.0,118,0.0323508195579052,0.08429083973169327,-0.01567564718425274
MATCH_250K,2586,log_life_lt_6,6.0,264,0.024900194257497787,0.06631829589605331,-0.004401086829602718
MATCH_250K,2653,all,all,679,0.021785486489534378,0.05413045361638069,0.012626015581190586
MATCH_250K,2653,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,2653,log_life_lt_3,3.0,2,0.04315614700317383,0.05693500116467476,0.04315614700317383
MATCH_250K,2653,log_life_lt_4,4.0,7,0.12862856686115265,0.24662676453590393,0.10391926765441895
MATCH_250K,2653,log_life_lt_5,5.0,23,0.11068397015333176,0.1732577383518219,0.09333605319261551
MATCH_250K,2653,log_life_lt_6,6.0,193,0.03595847263932228,0.08826589584350586,0.02458418719470501
MATCH_250K,1055,all,all,679,0.01665939949452877,0.044083330780267715,0.004168394021689892
MATCH_250K,1055,log_life_lt_2,2.0,2,0.38506019115448,0.3879111707210541,0.38506019115448
MATCH_250K,1055,log_life_lt_3,3.0,4,0.3717834949493408,0.3767359256744385,0.3717834949493408
MATCH_250K,1055,log_life_lt_4,4.0,12,0.1811785101890564,0.23060037195682526,0.15885962545871735
MATCH_250K,1055,log_life_lt_5,5.0,88,0.0363645926117897,0.09205880761146545,0.02827899530529976
MATCH_250K,1055,log_life_lt_6,6.0,262,0.021711399778723717,0.05951489135622978,0.01500197034329176
MATCH_250K,705,all,all,679,0.023792345076799393,0.05264465883374214,-0.010220177471637726
MATCH_250K,705,log_life_lt_2,2.0,3,0.05447546765208244,0.08041317760944366,0.047033071517944336
MATCH_250K,705,log_life_lt_3,3.0,6,0.11804250627756119,0.17294028401374817,-0.06728824228048325
MATCH_250K,705,log_life_lt_4,4.0,39,0.06856583803892136,0.12808948755264282,-0.03297576680779457
MATCH_250K,705,log_life_lt_5,5.0,160,0.028307026252150536,0.06823612749576569,-0.014411913231015205
MATCH_250K,705,log_life_lt_6,6.0,280,0.025526486337184906,0.06808970123529434,-0.008017892949283123
MATCH_250K,106,all,all,679,0.017710842192173004,0.05100506916642189,-0.0015524908667430282
MATCH_250K,106,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,106,log_life_lt_3,3.0,4,0.16003179550170898,0.17402403056621552,-0.06271660327911377
MATCH_250K,106,log_life_lt_4,4.0,10,0.13558495044708252,0.16049420833587646,-0.02873523160815239
MATCH_250K,106,log_life_lt_5,5.0,118,0.0322851799428463,0.07982025295495987,-0.00429379940032959
MATCH_250K,106,log_life_lt_6,6.0,268,0.022719016298651695,0.06045091524720192,-0.0005052650230936706
MATCH_250K,589,all,all,679,0.01881922408938408,0.0469205342233181,-0.000365205283742398
MATCH_250K,589,log_life_lt_2,2.0,1,0.212052583694458,0.212052583694458,0.212052583694458
MATCH_250K,589,log_life_lt_3,3.0,6,0.22586171329021454,0.24626868963241577,0.22586171329021454
MATCH_250K,589,log_life_lt_4,4.0,12,0.14429552853107452,0.1823754459619522,0.13476403057575226
MATCH_250K,589,log_life_lt_5,5.0,96,0.035327497869729996,0.07900381833314896,0.015107070095837116
MATCH_250K,589,log_life_lt_6,6.0,250,0.020984014496207237,0.05630195513367653,0.008224470540881157
MATCH_250K,2468,all,all,679,0.019945349544286728,0.05285460501909256,0.0015552174299955368
MATCH_250K,2468,log_life_lt_2,2.0,2,0.20371079444885254,0.21050314605236053,0.20371079444885254
MATCH_250K,2468,log_life_lt_3,3.0,4,0.19233965873718262,0.19639478623867035,0.19233965873718262
MATCH_250K,2468,log_life_lt_4,4.0,16,0.15914273262023926,0.21298694610595703,0.012217283248901367
MATCH_250K,2468,log_life_lt_5,5.0,102,0.035528890788555145,0.08784250915050507,-0.0044294665567576885
MATCH_250K,2468,log_life_lt_6,6.0,248,0.0269223190844059,0.07225794345140457,-0.0018394609214738011
MATCH_250K,2413,all,all,679,0.020543929189443588,0.0630081370472908,0.0004046194953843951
MATCH_250K,2413,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,2413,log_life_lt_3,3.0,4,0.2784426212310791,0.30984264612197876,-0.2784426212310791
MATCH_250K,2413,log_life_lt_4,4.0,10,0.1900719851255417,0.25253981351852417,-0.14176690578460693
MATCH_250K,2413,log_life_lt_5,5.0,83,0.04899764806032181,0.11323301494121552,-0.02417137287557125
MATCH_250K,2413,log_life_lt_6,6.0,241,0.03237277269363403,0.09729108214378357,-0.0018779697129502892
MATCH_250K,1600,all,all,679,0.018587103113532066,0.04683962091803551,-0.0038909160066396
MATCH_250K,1600,log_life_lt_2,2.0,1,0.2318791151046753,0.2318791151046753,0.2318791151046753
MATCH_250K,1600,log_life_lt_3,3.0,3,0.2092122584581375,0.22856859862804413,0.2092122584581375
MATCH_250K,1600,log_life_lt_4,4.0,6,0.16300751268863678,0.18692521750926971,0.060141582041978836
MATCH_250K,1600,log_life_lt_5,5.0,58,0.047632403671741486,0.09298443049192429,-0.015558729879558086
MATCH_250K,1600,log_life_lt_6,6.0,247,0.025337403640151024,0.06458068639039993,-0.002935722703114152
MATCH_250K,2464,all,all,679,0.023882336914539337,0.051693644374608994,0.00688893860206008
MATCH_250K,2464,log_life_lt_2,2.0,1,0.4750102758407593,0.4750102758407593,0.4750102758407593
MATCH_250K,2464,log_life_lt_3,3.0,3,0.4399842917919159,0.44075027108192444,0.4399842917919159
MATCH_250K,2464,log_life_lt_4,4.0,6,0.27375200390815735,0.3341011106967926,0.17564529180526733
MATCH_250K,2464,log_life_lt_5,5.0,29,0.11406650394201279,0.17669637501239777,0.0023475473280996084
MATCH_250K,2464,log_life_lt_6,6.0,213,0.02959977649152279,0.0774422436952591,-0.002292237477377057
