model,band,threshold,n_nodes,mae,rmse,bias
MATCH_250K,all,all,679000,0.02042875438928604,0.05398426949977875,0.00012627034448087215
MATCH_250K,log_life_lt_2,2.0,1013,0.2709318995475769,0.2969096302986145,0.21864058077335358
MATCH_250K,log_life_lt_3,3.0,4449,0.21996618807315826,0.26289471983909607,0.05123177543282509
MATCH_250K,log_life_lt_4,4.0,13071,0.1473993957042694,0.20114824175834656,0.02601282298564911
MATCH_250K,log_life_lt_5,5.0,93280,0.04201522096991539,0.0959148183465004,0.001365691190585494
MATCH_250K,log_life_lt_6,6.0,251645,0.02773870714008808,0.07266349345445633,0.0011869401205331087
MATCH_250K_HIRES,all,all,679000,0.020530134439468384,0.05349517613649368,-0.004420584999024868
MATCH_250K_HIRES,log_life_lt_2,2.0,1013,0.26883170008659363,0.3146591782569885,0.2094334363937378
MATCH_250K_HIRES,log_life_lt_3,3.0,4449,0.2277047038078308,0.28247368335723877,0.02008734829723835
MATCH_250K_HIRES,log_life_lt_4,4.0,13071,0.15196679532527924,0.2119813859462738,0.007933717221021652
MATCH_250K_HIRES,log_life_lt_5,5.0,93280,0.043885283172130585,0.09806171804666519,-0.005662760231643915
MATCH_250K_HIRES,log_life_lt_6,6.0,251645,0.028998952358961105,0.07277849316596985,-0.006186998449265957
